date,geography,geography code,Household size: Total: All household spaces; measures: Value,Household size: 0 people in household; measures: Value,Household size: 1 person in household; measures: Value,Household size: 2 people in household; measures: Value,Household size: 3 people in household; measures: Value,Household size: 4 people in household; measures: Value,Household size: 5 people in household; measures: Value,Household size: 6 people in household; measures: Value,Household size: 7 people in household; measures: Value,Household size: 8 or more people in household; measures: Value
2021,Manchester 001E,E01005103,862,0,384,212,128,81,41,10,2,4
2021,Manchester 002A,E01005101,728,0,212,184,143,115,46,22,5,1
2021,Manchester 002B,E01005135,655,0,165,156,124,103,70,21,8,8
2021,Manchester 002C,E01005136,616,0,198,190,99,73,35,15,3,3
2021,Manchester 002D,E01005138,998,0,320,263,179,134,59,33,9,1
2021,Manchester 002F,E01034107,596,0,200,174,101,61,42,10,4,4
2021,Manchester 002G,E01034108,788,0,205,226,163,111,55,19,7,2
2021,Manchester 003B,E01005139,766,0,188,242,151,118,43,18,4,2
2021,Manchester 003C,E01005141,795,0,320,142,124,94,73,33,8,1
2021,Manchester 003D,E01005251,638,0,157,197,122,97,41,17,5,2
2021,Manchester 003E,E01005252,758,0,234,219,140,84,51,23,6,1
2021,Manchester 003F,E01033685,633,0,199,171,105,95,32,20,8,3
2021,Manchester 003G,E01033687,764,0,459,178,58,52,15,1,1,0
2021,Manchester 004A,E01005104,817,0,289,224,123,96,48,29,6,2
2021,Manchester 004B,E01005160,705,0,228,166,102,85,51,35,15,23
2021,Manchester 004C,E01005161,660,0,150,210,119,85,55,18,20,3
2021,Manchester 004D,E01005162,656,0,225,132,81,98,57,34,16,13
2021,Manchester 004E,E01005163,649,0,234,139,73,86,61,30,14,12
2021,Manchester 005A,E01005247,623,0,199,213,99,78,23,8,2,1
2021,Manchester 005B,E01005248,586,0,172,221,101,59,24,6,2,1
2021,Manchester 005C,E01005249,904,0,282,279,154,123,41,17,4,4
2021,Manchester 005D,E01005250,763,0,194,168,156,112,88,28,12,5
2021,Manchester 005E,E01005253,629,0,143,183,121,107,51,15,6,3
2021,Manchester 005F,E01005254,703,0,219,224,147,80,22,9,2,0
2021,Manchester 006A,E01005164,780,0,252,153,116,118,61,43,25,12
2021,Manchester 006B,E01005205,875,0,326,211,118,100,68,30,9,13
