date,geography,geography code,Ethnic group: Total: All usual residents,"Ethnic group: Asian, Asian British or Asian Welsh","Ethnic group: Asian, Asian British or Asian Welsh: Bangladeshi","Ethnic group: Asian, Asian British or Asian Welsh: Chinese","Ethnic group: Asian, Asian British or Asian Welsh: Indian","Ethnic group: Asian, Asian British or Asian Welsh: Pakistani","Ethnic group: Asian, Asian British or Asian Welsh: Other Asian","Ethnic group: Black, Black British, Black Welsh, Caribbean or African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Caribbean","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Other Black",Ethnic group: Mixed or Multiple ethnic groups,Ethnic group: Mixed or Multiple ethnic groups: White and Asian,Ethnic group: Mixed or Multiple ethnic groups: White and Black African,Ethnic group: Mixed or Multiple ethnic groups: White and Black Caribbean,Ethnic group: Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Ethnic group: White,"Ethnic group: White: English, Welsh, Scottish, Northern Irish or British",Ethnic group: White: Irish,Ethnic group: White: Gypsy or Irish Traveller,Ethnic group: White: Roma,Ethnic group: White: Other White,Ethnic group: Other ethnic group,Ethnic group: Other ethnic group: Arab,Ethnic group: Other ethnic group: Any other ethnic group
2021,Solihull 027,E02002107,5414,998,15,89,652,185,57,82,51,25,6,131,49,10,32,40,4065,3823,102,0,1,139,138,39,99
2021,Solihull 028,E02002108,9846,507,12,52,294,110,39,45,28,13,4,206,92,19,52,43,8997,8598,147,7,2,243,91,26,65
2021,Solihull 029,E02002109,12131,1090,27,91,711,190,71,104,37,59,8,427,165,24,160,78,10371,9749,247,17,5,353,139,27,112
2021,Walsall 001,E02002110,7026,200,8,19,106,45,22,114,40,54,20,142,26,6,83,27,6505,6386,17,0,0,102,65,4,61
2021,Walsall 002,E02002111,6419,138,0,9,64,43,22,114,31,60,23,135,32,16,72,15,6013,5810,25,9,4,165,19,0,19
2021,Walsall 003,E02002112,5269,72,0,4,51,10,7,65,37,23,5,85,20,5,42,18,5034,4971,20,0,0,43,13,0,13
2021,Walsall 004,E02002113,6398,229,6,14,151,39,19,136,47,67,22,168,34,9,91,34,5822,5652,38,17,0,115,43,1,42
2021,Walsall 005,E02002114,6078,149,1,30,83,18,17,79,35,32,12,118,61,3,39,15,5708,5615,26,6,1,60,24,6,18
2021,Walsall 006,E02002115,6822,223,9,16,127,42,29,163,69,68,26,190,39,21,100,30,6226,6002,17,18,0,189,20,2,18
2021,Walsall 007,E02002116,6757,272,4,24,173,55,16,91,34,47,10,155,38,8,69,40,6200,6072,45,6,0,77,39,0,39
2021,Walsall 008,E02002117,6255,192,18,39,98,14,23,115,36,60,19,119,25,11,63,20,5815,5679,19,11,0,106,14,0,14
2021,Walsall 009,E02002118,7419,194,18,15,77,54,30,249,153,68,28,180,36,15,100,29,6763,6467,13,5,2,276,33,7,26
2021,Walsall 010,E02002119,5982,510,9,26,379,65,31,156,32,104,20,142,40,8,76,18,5076,4990,20,3,0,63,98,7,91
2021,Walsall 011,E02002120,6112,529,1,16,450,39,23,110,36,57,17,193,53,7,113,20,5192,5077,16,0,6,93,88,0,88
2021,Walsall 012,E02002121,6665,280,4,13,135,91,37,357,164,151,42,237,43,18,153,23,5751,5459,11,24,0,257,40,0,40
2021,Walsall 013,E02002122,7157,584,30,36,245,188,85,664,371,183,110,286,78,24,142,42,5530,4926,26,33,8,537,93,25,68
2021,Walsall 014,E02002123,6600,619,10,20,448,76,65,178,65,90,23,222,39,8,142,33,5475,5314,13,5,0,143,106,0,106
2021,Walsall 015,E02002124,6917,213,5,15,132,42,19,111,38,61,12,186,55,9,100,22,6380,6199,66,5,1,109,27,5,22
2021,Walsall 016,E02002125,6449,402,9,22,227,104,40,300,179,105,16,243,69,12,135,27,5463,5329,24,6,3,101,41,0,41
2021,Walsall 017,E02002126,6678,206,32,19,51,72,32,324,172,114,38,197,37,17,109,34,5915,5660,11,26,1,217,36,0,36
2021,Walsall 018,E02002127,9792,2504,96,42,484,1702,180,1114,667,319,128,356,91,33,162,70,5558,4788,16,0,6,748,260,31,229
2021,Walsall 019,E02002128,5625,468,19,10,348,53,38,139,71,47,21,117,30,2,66,19,4808,4678,19,1,0,110,93,1,92
