"date","geography","geography code","Year of arrival in the UK: Total: All usual residents; measures: Value","Year of arrival in the UK: Born in the UK; measures: Value","Year of arrival in the UK: Arrived before 1951; measures: Value","Year of arrival in the UK: Arrived 1951 to 1960; measures: Value","Year of arrival in the UK: Arrived 1961 to 1970; measures: Value","Year of arrival in the UK: Arrived 1971 to 1980; measures: Value","Year of arrival in the UK: Arrived 1981 to 1990; measures: Value","Year of arrival in the UK: Arrived 1991 to 2000; measures: Value","Year of arrival in the UK: Arrived 2001 to 2010; measures: Value","Year of arrival in the UK: Arrived 2011 to 2013; measures: Value","Year of arrival in the UK: Arrived 2014 to 2016; measures: Value","Year of arrival in the UK: Arrived 2017 to 2019; measures: Value","Year of arrival in the UK: Arrived 2020 to 2021; measures: Value"
"2021","Solihull","E08000029",216242,193991,340,1257,2471,2040,1383,2245,5150,1539,2336,2455,1035
"2021","Walsall","E08000030",284124,242162,167,939,3750,2985,2416,3873,11276,3661,5607,5230,2058
"2021","Wolverhampton","E08000031",263727,203312,249,1647,6483,3251,1947,4247,15564,5200,8221,9469,4137
"2021","Peterborough","E06000031",215677,154787,184,936,2040,2462,2118,4078,20890,7442,8804,8591,3345
"2021","Luton","E06000032",225261,138675,199,1803,4792,5237,5586,8874,22704,6798,11408,12845,6340
"2021","Southend-on-Sea","E06000033",180686,158100,201,727,1207,1265,1225,2743,7401,1904,2365,2478,1070
"2021","Thurrock","E06000034",176002,139059,101,365,859,993,1832,4499,13784,3954,5062,4002,1492
"2021","Bedford","E06000055",185225,145586,302,1414,3082,2143,1880,3871,11166,3430,5098,5150,2103
"2021","Central Bedfordshire","E06000056",294252,261763,375,1300,2184,1856,1983,3337,9387,2773,3911,3343,2040
"2021","Cambridge","E07000008",145674,90388,204,473,1130,1398,1703,4158,11656,4881,8517,12704,8462
"2021","East Cambridgeshire","E07000009",87758,77395,94,249,503,477,493,996,3066,1095,1242,1549,599
"2021","Fenland","E07000010",102462,89691,90,309,467,389,355,666,4721,1907,1856,1449,562
"2021","Huntingdonshire","E07000011",180834,158430,267,710,1258,1141,1177,1882,6390,2161,2735,3355,1328
"2021","South Cambridgeshire","E07000012",162123,135924,219,552,1105,1223,1283,2912,7664,2619,3352,3813,1457
"2021","Basildon","E07000066",187573,165407,186,610,888,980,1036,2379,7456,2106,2847,2614,1064
"2021","Braintree","E07000067",155268,144076,180,474,840,726,755,1232,3417,1040,1294,934,300
"2021","Brentwood","E07000068",77047,68392,110,300,585,690,570,1135,2240,666,937,1013,409
"2021","Castle Point","E07000069",89588,85303,114,346,404,345,327,577,1157,290,305,300,120
"2021","Chelmsford","E07000070",181523,159914,197,605,1066,1099,1038,2169,6344,1844,2715,3105,1427
"2021","Colchester","E07000071",192716,164707,268,609,1238,1355,1286,2454,8140,2541,3593,4190,2335
"2021","Epping Forest","E07000072",134979,116277,176,612,1511,1570,1449,2562,5164,1379,1802,1787,690
"2021","Harlow","E07000073",93328,76255,89,400,535,554,572,1483,5797,1805,2371,2531,936
"2021","Maldon","E07000074",66208,63255,78,224,297,257,267,392,720,187,215,210,106
"2021","Rochford","E07000075",85663,82203,110,261,341,356,303,473,852,209,242,242,71
"2021","Tendring","E07000076",148293,140821,281,783,917,610,575,798,1746,481,569,546,166
"2021","Uttlesford","E07000077",91338,83396,155,300,510,503,584,958,2236,690,869,809,328
"2021","Broxbourne","E07000095",99010,81314,120,842,1596,1072,1321,2560,4907,1408,1784,1570,516
"2021","Dacorum","E07000096",155082,132881,259,638,1192,1509,1465,2524,6265,1997,2810,2568,974
"2021","Hertsmere","E07000098",107827,83151,200,660,1406,1903,1769,3285,7245,1993,2620,2597,998
"2021","North Hertfordshire","E07000099",133213,117793,267,682,1555,1252,1128,1954,3886,1161,1455,1562,518
"2021","Three Rivers","E07000102",93771,75953,183,504,1435,2101,1499,2245,5057,1196,1597,1359,642
"2021","Watford","E07000103",102246,67527,128,528,1640,1894,1705,3425,10541,3215,4554,5091,1998
"2021","Breckland","E07000143",141476,126175,219,467,709,590,577,1075,4973,1886,2029,1966,810
"2021","Broadland","E07000144",131722,124296,196,409,623,663,571,850,1921,607,680,663,243
"2021","Great Yarmouth","E07000145",99750,89995,83,260,414,361,310,502,2840,1140,1520,1580,745
"2021","King's Lynn and West Norfolk","E07000146",154325,138376,191,497,735,532,555,1068,5267,1608,1903,2511,1082
"2021","North Norfolk","E07000147",102981,98291,216,395,549,424,367,492,1004,345,349,346,203
"2021","Norwich","E07000148",143924,118600,124,289,629,565,771,1746,7329,2563,3597,4977,2734
"2021","South Norfolk","E07000149",141948,131950,205,380,677,662,609,1086,2818,861,1114,1120,466
"2021","Babergh","E07000200",92338,87057,181,364,538,466,421,550,1328,378,483,411,161
"2021","Ipswich","E07000202",139640,114863,132,392,892,737,931,1695,7269,2477,4446,4241,1565
"2021","Mid Suffolk","E07000203",102699,96911,150,374,570,447,450,612,1281,378,537,557,432
